activity_nr,reporting_id,state_flag,estab_name,site_address,site_city,site_state,site_zip,owner_type,owner_code,adv_notice,safety_hlth,sic_code,naics_code,insp_type,insp_scope,why_no_insp,union_status,nr_in_estab,open_date,case_mod_date,close_conf_date,close_case_date,ld_dt,close_year,noviol,act_id,citation_id,delete_flag,standard,viol_type,issuance_date,abate_date,abate_complete,current_penalty,initial_penalty,contest_date,final_order_date,nr_instances,nr_exposed,rec,gravity,emphasis,hazcat,fta_insp_nr,fta_issuance_date,fta_penalty,fta_contest_date,fta_final_order_date,hazsub1,hazsub2,hazsub3,hazsub4,hazsub5,load_dt,safety_manuf,safety_const,safety_marit,health_manuf,health_const,health_marit,migrant,mail_street,mail_city,mail_state,mail_zip,host_est_key,rel_type.1,rel_act_nr.1,rel_safety.1,rel_health.1,load_dt.1.x,rel_type.2,rel_act_nr.2,rel_safety.2,rel_health.2,load_dt.2.x,rel_type.3,rel_act_nr.3,rel_safety.3,rel_health.3,load_dt.3.x,rel_type.4,rel_act_nr.4,rel_safety.4,rel_health.4,load_dt.4.x,rel_type.5,rel_act_nr.5,rel_safety.5,rel_health.5,load_dt.5.x,rel_type.6,rel_act_nr.6,rel_safety.6,rel_health.6,load_dt.6.x,rel_type.7,rel_act_nr.7,rel_safety.7,rel_health.7,load_dt.7,rel_type.8,rel_act_nr.8,rel_safety.8,rel_health.8,load_dt.8,rel_type.9,rel_act_nr.9,rel_safety.9,rel_health.9,load_dt.9,rel_type.10,rel_act_nr.10,rel_safety.10,rel_health.10,load_dt.10,rel_type.11,rel_act_nr.11,rel_safety.11,rel_health.11,load_dt.11,rel_type.12,rel_act_nr.12,rel_safety.12,rel_health.12,load_dt.12,rel_type.13,rel_act_nr.13,rel_safety.13,rel_health.13,load_dt.13,rel_type.14,rel_act_nr.14,rel_safety.14,rel_health.14,load_dt.14,rel_type.15,rel_act_nr.15,rel_safety.15,rel_health.15,load_dt.15,rel_type.16,rel_act_nr.16,rel_safety.16,rel_health.16,load_dt.16,rel_type.17,rel_act_nr.17,rel_safety.17,rel_health.17,load_dt.17,rel_type.18,rel_act_nr.18,rel_safety.18,rel_health.18,load_dt.18,rel_type.19,rel_act_nr.19,rel_safety.19,rel_health.19,load_dt.19,rel_type.20,rel_act_nr.20,rel_safety.20,rel_health.20,load_dt.20,activity_nr.1,citation_id.1,pen_fta.1,hist_event.1,hist_date.1,hist_penalty.1,hist_abate_date.1,hist_vtype.1,hist_insp_nr.1,load_dt.1.y,activity_nr.2,citation_id.2,pen_fta.2,hist_event.2,hist_date.2,hist_penalty.2,hist_abate_date.2,hist_vtype.2,hist_insp_nr.2,load_dt.2.y,activity_nr.3,citation_id.3,pen_fta.3,hist_event.3,hist_date.3,hist_penalty.3,hist_abate_date.3,hist_vtype.3,hist_insp_nr.3,load_dt.3.y,activity_nr.4,citation_id.4,pen_fta.4,hist_event.4,hist_date.4,hist_penalty.4,hist_abate_date.4,hist_vtype.4,hist_insp_nr.4,load_dt.4.y,activity_nr.5,citation_id.5,pen_fta.5,hist_event.5,hist_date.5,hist_penalty.5,hist_abate_date.5,hist_vtype.5,hist_insp_nr.5,load_dt.5.y,activity_nr.6,citation_id.6,pen_fta.6,hist_event.6,hist_date.6,hist_penalty.6,hist_abate_date.6,hist_vtype.6,hist_insp_nr.6,load_dt.6.y
119948990,950633,NA,CALIFORNIA INSTITUTION FOR MEN (CIM),14901 S CENTRAL AVE,CHINO,CA,91708,C,0,N,H,9223,0,H,B,,Y,1,11/17/00,4/11/13,3/23/01,9/13/10,2013-04-13 04:04:35 EDT,2010,FALSE,119948990 01008,1008,,4650 D,O,3/6/01,4/9/01,X,150,150,,,1,1,,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,2013-04-13 04:04:38 EDT,,,NA,,NA,NA,NA,POST OFFICE BOX 1031,CHINO,CA,91710,N088    000017014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119948990,950633,NA,CALIFORNIA INSTITUTION FOR MEN (CIM),14901 S CENTRAL AVE,CHINO,CA,91708,C,0,N,H,9223,0,H,B,,Y,1,11/17/00,4/11/13,3/23/01,9/13/10,2013-04-13 04:04:35 EDT,2010,FALSE,119948990 01009,1009,,461 C,O,3/6/01,6/9/01,X,300,300,,,1,1,,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,2013-04-13 04:04:38 EDT,,,NA,,NA,NA,NA,POST OFFICE BOX 1031,CHINO,CA,91710,N088    000017014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119948990,1009,P,A,3/30/01,300,6/9/01,O,NA,2013-04-13 04:04:38 EDT,119948990,1009,P,Z,3/6/01,300,4/9/01,O,NA,2013-04-13 04:04:38 EDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119948990,950633,NA,CALIFORNIA INSTITUTION FOR MEN (CIM),14901 S CENTRAL AVE,CHINO,CA,91708,C,0,N,H,9223,0,H,B,,Y,1,11/17/00,4/11/13,3/23/01,9/13/10,2013-04-13 04:04:35 EDT,2010,FALSE,119948990 01017,1017,,5194 F04    B,O,3/6/01,4/9/01,X,150,150,,,1,1,,NA,NA,NA,NA,,NA,NA,NA,1340,NA,NA,NA,NA,2013-04-13 04:04:38 EDT,,,NA,,NA,NA,NA,POST OFFICE BOX 1031,CHINO,CA,91710,N088    000017014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119948990,950633,NA,CALIFORNIA INSTITUTION FOR MEN (CIM),14901 S CENTRAL AVE,CHINO,CA,91708,C,0,N,H,9223,0,H,B,,Y,1,11/17/00,4/11/13,3/23/01,9/13/10,2013-04-13 04:04:35 EDT,2010,FALSE,119948990 01018,1018,,5194 H01,O,3/6/01,6/9/01,X,150,150,,,1,1,,NA,NA,NA,NA,,NA,NA,NA,1340,NA,NA,NA,NA,2013-04-13 04:04:38 EDT,,,NA,,NA,NA,NA,POST OFFICE BOX 1031,CHINO,CA,91710,N088    000017014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119948990,1018,P,Z,3/6/01,150,4/9/01,O,NA,2013-04-13 04:04:38 EDT,119948990,1018,P,A,3/30/01,150,6/9/01,O,NA,2013-04-13 04:04:38 EDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119948990,950633,NA,CALIFORNIA INSTITUTION FOR MEN (CIM),14901 S CENTRAL AVE,CHINO,CA,91708,C,0,N,H,9223,0,H,B,,Y,1,11/17/00,4/11/13,3/23/01,9/13/10,2013-04-13 04:04:35 EDT,2010,FALSE,119948990 02001,2001,,3666 A,S,3/6/01,3/16/01,X,4500,4500,,,1,1,,NA,NA,NA,NA,,NA,NA,NA,8880,NA,NA,NA,NA,2013-04-13 04:04:38 EDT,,,NA,,NA,NA,NA,POST OFFICE BOX 1031,CHINO,CA,91710,N088    000017014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119948990,950633,NA,CALIFORNIA INSTITUTION FOR MEN (CIM),14901 S CENTRAL AVE,CHINO,CA,91708,C,0,N,H,9223,0,H,B,,Y,1,11/17/00,4/11/13,3/23/01,9/13/10,2013-04-13 04:04:35 EDT,2010,FALSE,119948990 01005,1005,,5144 H02    A,O,3/6/01,4/9/01,X,150,150,,,1,1,,NA,NA,NA,NA,,NA,NA,NA,1430,NA,NA,NA,NA,2013-04-13 04:04:38 EDT,,,NA,,NA,NA,NA,POST OFFICE BOX 1031,CHINO,CA,91710,N088    000017014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119948990,950633,NA,CALIFORNIA INSTITUTION FOR MEN (CIM),14901 S CENTRAL AVE,CHINO,CA,91708,C,0,N,H,9223,0,H,B,,Y,1,11/17/00,4/11/13,3/23/01,9/13/10,2013-04-13 04:04:35 EDT,2010,FALSE,119948990 01006,1006,,3328 D,O,3/6/01,4/9/01,X,150,150,,,1,1,,NA,NA,NA,NA,,NA,NA,NA,8880,NA,NA,NA,NA,2013-04-13 04:04:38 EDT,,,NA,,NA,NA,NA,POST OFFICE BOX 1031,CHINO,CA,91710,N088    000017014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119948990,950633,NA,CALIFORNIA INSTITUTION FOR MEN (CIM),14901 S CENTRAL AVE,CHINO,CA,91708,C,0,N,H,9223,0,H,B,,Y,1,11/17/00,4/11/13,3/23/01,9/13/10,2013-04-13 04:04:35 EDT,2010,FALSE,119948990 01007,1007,,25000007 A,O,3/6/01,4/8/01,X,150,150,,,1,1,,NA,NA,NA,NA,,NA,NA,NA,8870,NA,NA,NA,NA,2013-04-13 04:04:38 EDT,,,NA,,NA,NA,NA,POST OFFICE BOX 1031,CHINO,CA,91710,N088    000017014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119948990,950633,NA,CALIFORNIA INSTITUTION FOR MEN (CIM),14901 S CENTRAL AVE,CHINO,CA,91708,C,0,N,H,9223,0,H,B,,Y,1,11/17/00,4/11/13,3/23/01,9/13/10,2013-04-13 04:04:35 EDT,2010,FALSE,119948990 03001,3001,,23400011 A01,S,3/6/01,6/9/01,X,4500,4500,,,1,1,,NA,NA,NA,NA,,NA,NA,NA,8870,NA,NA,NA,NA,2013-04-13 04:04:38 EDT,,,NA,,NA,NA,NA,POST OFFICE BOX 1031,CHINO,CA,91710,N088    000017014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119948990,3001,P,Z,3/6/01,4500,4/9/01,S,NA,2013-04-13 04:04:38 EDT,119948990,3001,P,A,3/30/01,4500,6/9/01,S,NA,2013-04-13 04:04:38 EDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119948990,950633,NA,CALIFORNIA INSTITUTION FOR MEN (CIM),14901 S CENTRAL AVE,CHINO,CA,91708,C,0,N,H,9223,0,H,B,,Y,1,11/17/00,4/11/13,3/23/01,9/13/10,2013-04-13 04:04:35 EDT,2010,FALSE,119948990 01010,1010,,5162 D,O,3/6/01,6/9/01,X,150,150,,,1,1,,NA,NA,NA,NA,,NA,NA,NA,8880,NA,NA,NA,NA,2013-04-13 04:04:38 EDT,,,NA,,NA,NA,NA,POST OFFICE BOX 1031,CHINO,CA,91710,N088    000017014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119948990,1010,P,A,3/30/01,150,6/9/01,O,NA,2013-04-13 04:04:38 EDT,119948990,1010,P,Z,3/6/01,150,4/9/01,O,NA,2013-04-13 04:04:38 EDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
